channel	date	value	match
ABC	6/10/06	3445	TRINIDAD/TOBAGO VS SWEDEN
ABC	6/10/06	3082	ENGLAND VS PARAGUAY
ABC	6/17/06	6733	ITALY VS USA
ABC	6/18/06	2433	JAPAN VS CROATIA
ABC	7/1/06	4902	ENGLAND VS PORTUGAL
ABC	7/9/06	11961	ITALY VS FRANCE
ABC	6/11/06	3335	MEXICO VS IRAN
ABC	6/17/06	2808	CZECH REPUBLIC VS GHANA
ABC	6/18/06	4507	BRAZIL VS AUSTRALIA
ABC	6/18/06	3387	FRANCE VS SOUTH KOREA
ABC	6/24/06	3046	GERMANY VS SWEDEN
ABC	6/25/06	3973	ENGLAND VS ECUADOR
Univision	6/9/06	2154	GERMANY VS COSTA RICA
Univision	6/12/06	1944	USA VS CZECH REPUBLIC
Univision	6/12/06	1960	ITALY VS GHANA
Univision	6/13/06	1339	KOREA REPUBLIC VS TOGO
Univision	6/13/06	1751	FRANCE VS SWITZERLAND
Univision	6/13/06	3102	BRAZIL VS CROATIA
Univision	6/14/06	1140	SPAIN VS UKRAINE
Univision	6/14/06	1210	TUNEZ VS SAUDI ARABIA
Univision	6/14/06	1852	GERMANY VS POLAND
Univision	6/15/06	1600	ECUADOR VS COSTA RICA
Univision	6/15/06	1653	ENGLAND VS TRINIDAD-TOBAGO
Univision	6/9/06	1895	POLAND VS ECUADOR
Univision	6/15/06	1815	SWEDEN VS PARAGUAY
Univision	6/16/06	1563	ARGENTINA VS SERBIA & MONTNGRO
Univision	6/16/06	1600	PAISE BAJOS VS IVORY COAST
Univision	6/16/06	4062	MEXICO VS ANGOLA
Univision	6/17/06	1334	PORTUGAL VS IRAN
Univision	6/17/06	2086	CZECH REPUBLIC VS GHANA
Univision	6/17/06	3027	ITALY VS USA
Univision	6/18/06	1392	JAPAN VS CROATIA
Univision	6/18/06	3760	BRAZIL VS AUSTRALIA
Univision	6/18/06	2244	FRANCE VS KOREA REPUBLIC
Univision	6/10/06	1361	ENGLAND VS PARAGUAY
Univision	6/19/06	869	TOGO VS SWITZERLAND
Univision	6/19/06	1290	SAUDI ARABIA VS UKRAINE
Univision	6/19/06	1818	SPAIN VS TUNEZ
Univision	6/20/06	1516	ECUADOR VS GERMANY
Univision	6/20/06	1584	SWEDEN VS ENGLAND
Univision	6/21/06	3111	PORTUGAL VS MEXICO
Univision	6/21/06	1911	NETHERLANDS VS ARGENTINA
Univision	6/10/06	2188	TRINIDAD-TOBAGO VS SWEDEN
Univision	6/22/06	1663	GHANA VS USA
Univision	6/22/06	2561	JAPAN VS BRAZIL
Univision	6/23/06	1264	SAUDI ARABIA VS SPAIN
Univision	6/23/06	1506	TOGO VS FRANCE
Univision	6/24/06	2193	GERMANY VS SWEDEN
Univision	6/10/06	2979	ARGENTINA VS IVORY COAST
Univision	6/24/06	6665	ARGENTINA VS MEXICO
Univision	6/25/06	2611	ENGLAND VS ECUADOR
